column1,name,serving_size,calories,total_fat,cholesterol,sodium,protein,histidine,isoleucine,leucine,lysine,methionine,phenylalanine,threonine,valine,saturated_fatty_acids,fatty_acids_total_trans
0,Cornstarch,100 g,381,0.1g,0,9.00 mg,0.26 g,0.008 g,0.010 g,0.036 g,0.006 g,0.006 g,0.013 g,0.009 g,0.014 g,0.009 g,0.00 mg
1,Nuts pecans,100 g,691,72g,0,0.00 mg,9.17 g,0.262 g,0.336 g,0.598 g,0.287 g,0.183 g,0.426 g,0.306 g,0.411 g,6.180 g,0.00 mg
2,Eggplant raw,100 g,25,0.2g,0,2.00 mg,0.98 g,0.023 g,0.045 g,0.064 g,0.047 g,0.011 g,0.043 g,0.037 g,0.053 g,0.034 g,0.00 mg
3,Teff uncooked,100 g,367,2.4g,0,12.00 mg,13.30 g,0.301 g,0.501 g,1.068 g,0.376 g,0.428 g,0.698 g,0.510 g,0.686 g,0.449 g,0
4,Sherbet orange,100 g,144,2g,1mg,46.00 mg,1.10 g,0,0,0,0,0,0,0,0,1.160 g,1.00 mg
5,Cauliflower raw,100 g,25,0.3g,0,30.00 mg,1.92 g,0.056 g,0.071 g,0.106 g,0.217 g,0.020 g,0.065 g,0.076 g,0.125 g,0.130 g,0.00 mg
6,Taro leaves raw,100 g,42,0.7g,0,3.00 mg,4.98 g,0.114 g,0.260 g,0.392 g,0.246 g,0.079 g,0.195 g,0.167 g,0.256 g,0.151 g,0.00 mg
7,Lamb raw ground,100 g,282,23g,73mg,59.00 mg,16.56 g,0.524 g,0.799 g,1.288 g,1.462 g,0.425 g,0.674 g,0.709 g,0.893 g,10.190 g,73.00 mg
8,Cheese camembert,100 g,300,24g,72mg,842.00 mg,19.80 g,0.683 g,0.968 g,1.840 g,1.766 g,0.565 g,1.105 g,0.717 g,1.279 g,15.259 g,72.00 mg
9,Vegetarian fillets,100 g,290,18g,0,490.00 mg,23.00 g,0,0,0,0,0,0,0,0,2.849 g,0.00 mg
10,PACE Picante Sauce,100 g,25,0g,0,781.00 mg,0.00 g,0,0,0,0,0,0,0,0,0,0.00 mg
11,Goji berries dried,100 g,349,0.4g,0,298.00 mg,14.26 g,0.157 g,0.261 g,0.456 g,0.233 g,0.087 g,0.271 g,0.358 g,0.316 g,0.000 g,0.00 mg
12,Mango nectar canned,100 g,51,0.1g,0,5.00 mg,0.11 g,0,0,0,0,0,0,0,0,0.014 g,0.00 mg
13,Crackers rusk toast,100 g,407,7.2g,78mg,253.00 mg,13.50 g,0.309 g,0.610 g,1.010 g,0.684 g,0.290 g,0.668 g,0.512 g,0.684 g,1.376 g,78.00 mg
14,Chicken boiled feet,100 g,215,15g,84mg,67.00 mg,19.40 g,0,0,0,0,0,0,0,0,3.920 g,84.00 mg
15,Quail raw meat only,100 g,134,4.5g,70mg,51.00 mg,21.76 g,0.825 g,1.187 g,1.866 g,1.905 g,0.689 g,0.944 g,1.090 g,1.180 g,1.320 g,70.00 mg
16,Pie lemon fried pies,100 g,316,16g,0,374.00 mg,3.00 g,0.062 g,0.120 g,0.211 g,0.121 g,0.052 g,0.138 g,0.089 g,0.138 g,2.457 g,0.00 mg
17,Peppers raw jalapeno,100 g,29,0.4g,0,3.00 mg,0.91 g,0,0,0,0,0,0,0,0,0.092 g,0.00 mg
18,Winged bean tuber raw,100 g,148,0.9g,0,35.00 mg,11.60 g,0.241 g,0.425 g,0.640 g,0.592 g,0.143 g,0.451 g,0.451 g,0.599 g,0.222 g,0.00 mg
19,Salami turkey cooked,100 g,172,9.2g,76mg,1107.00 mg,19.20 g,0.477 g,0.796 g,1.219 g,1.442 g,0.443 g,0.607 g,0.681 g,0.813 g,2.783 g,76.00 mg
20,Grapes raw muscadine,100 g,57,0.5g,0,1.00 mg,0.81 g,0,0,0,0,0,0,0,0,0,0
21,Nuts raw ginkgo nuts,100 g,182,1.7g,0,7.00 mg,4.32 g,0.102 g,0.209 g,0.316 g,0.206 g,0.055 g,0.171 g,0.268 g,0.283 g,0.319 g,0.00 mg
22,Spices ground savory,100 g,272,5.9g,0,24.00 mg,6.73 g,0,0,0,0,0,0,0,0,3.260 g,0.00 mg
23,Candies sesame crunch,100 g,516,33g,0,167.00 mg,11.60 g,0,0,0,0,0,0,0,0,4.662 g,0.00 mg
24,Cheese low fat cream,100 g,201,15g,54mg,359.00 mg,7.85 g,0.232 g,0.429 g,0.869 g,0.750 g,0.252 g,0.384 g,0.308 g,0.522 g,9.098 g,54.00 mg
25,PACE Green Taco Sauce,100 g,25,0g,0,0,0.00 g,0,0,0,0,0,0,0,0,0.000 g,0.00 mg
26,Syrup Canadian maple,100 g,270,0g,0,9.00 mg,0.00 g,0,0,0,0,0,0,0,0,0,0.00 mg
27,Ostrich raw top loin,100 g,119,3g,75mg,81.00 mg,21.67 g,0.544 g,1.030 g,1.761 g,1.914 g,0.606 g,0.894 g,0.951 g,1.070 g,1.200 g,75.00 mg
28,Chewing gum sugarless,100 g,268,0.4g,0,7.00 mg,0.00 g,0,0,0,0,0,0,0,0,0.058 g,0.00 mg
29,Nuts dried pine nuts,100 g,673,68g,0,2.00 mg,13.69 g,0.341 g,0.542 g,0.991 g,0.540 g,0.259 g,0.524 g,0.370 g,0.687 g,4.899 g,0.00 mg
30,Pasta unenriched dry,100 g,371,1.5g,0,6.00 mg,13.04 g,0.298 g,0.511 g,0.988 g,0.298 g,0.147 g,0.668 g,0.462 g,0.588 g,0.277 g,0.00 mg
31,McDONALD'S Side Salad,100 g,20,0.2g,0,12.00 mg,1.03 g,0,0,0,0,0,0,0,0,0.020 g,0.00 mg
32,Cookies Marie biscuit,100 g,406,11g,0,370.00 mg,7.05 g,0,0,0,0,0,0,0,0,5.291 g,0.00 mg
33,Broccoli raw chinese,100 g,30,0.8g,0,7.00 mg,1.20 g,0,0,0,0,0,0,0,0,0.116 g,0.00 mg
34,McDONALD'S Hash Brown,100 g,271,16g,0,580.00 mg,2.48 g,0,0,0,0,0,0,0,0,2.327 g,0.00 mg
35,Agave raw (Southwest),100 g,68,0.2g,0,14.00 mg,0.52 g,0.008 g,0.014 g,0.025 g,0.028 g,0.009 g,0.019 g,0.014 g,0.022 g,0,0.00 mg
